Prompt,A) Gemma 2 9B,A) Llama 3.1 8B,A) Llama 3.2 11B,A) Llama 3.2 3B,A) Mistral 12B,A) Mistral 8B,B) Fine-tuning,B) Fine-tuning Adaptado,C) Chat GPT,C) DeepSeek,D) Cathoven,D) Text Inspector
Prompt 0,0.256,0.154,0.154,0.256,0.282,0.333,0.846,0.846,,,,
Prompt 1,0.256,0.154,0.231,0.205,0.308,0.333,0.821,0.821,,,,
Prompt 2,0.205,0.179,0.179,0.333,0.436,0.231,0.846,0.872,,,,
Prompt 3,0.282,0.205,0.205,0.282,0.436,0.231,0.821,0.846,,,,
Prompt 4,0.256,0.205,0.256,0.231,0.308,0.282,0.744,0.795,,,,
Prompt 5,0.308,0.205,0.128,0.231,0.256,0.256,0.795,0.821,,,,
Prompt 6,0.282,0.308,0.282,0.231,0.256,0.231,0.744,0.769,,,,
Prompt 7,0.333,0.256,0.205,0.256,0.205,0.256,0.769,0.821,,,,
Prompt 8,0.308,0.333,0.282,0.231,0.256,0.231,0.795,0.821,,,,
Prompt 9,0.256,0.333,0.205,0.436,0.385,0.308,0.718,0.718,,,,
Prompt 10,0.333,0.385,0.205,0.462,0.385,0.308,0.718,0.744,,,,
Prompt 11,0.41,0.256,0.179,0.154,0.462,0.179,0.718,0.769,,,,
Prompt 12,0.333,0.359,0.308,0.179,0.436,0.154,0.718,0.769,,,,
Prompt 13,0.231,0.256,0.308,0.308,0.333,0.308,0.744,0.744,,,,
Prompt 14,0.282,0.282,0.333,0.256,0.333,0.282,0.692,0.692,,,,
Prompt 15,0.359,0.462,0.41,0.256,0.282,0.282,0.744,0.769,0.41,0.359,,
Prompt 16,0.256,0.462,0.436,0.359,0.385,0.282,0.718,0.769,0.41,0.385,,
Prompt 17,0.385,0.385,0.41,0.179,0.436,0.154,0.718,0.744,0.436,0.436,,
Prompt 18,0.333,0.41,0.333,0.154,0.487,0.154,0.718,0.769,0.436,0.513,,
Prompt 19,0.308,0.333,0.282,0.282,0.308,0.282,0.718,0.744,,,,
Prompt 20,0.256,0.436,0.41,0.282,0.282,0.256,0.718,0.718,,,,
Prompt 21,0.179,0.205,0.231,0.256,0.359,0.256,0.718,0.769,,,,
Prompt 22,0.256,0.231,0.231,0.256,0.385,0.282,0.692,0.641,,,,
Prompt 23,0.0,0.282,0.359,0.282,0.282,0.231,0.718,0.744,,,,
Without Prompt,,,,,,,,0.692,,,,
Can't Prompt,,,,,,,,,,,0.436,0.436
